Вы|You|Ви
Темы появятся, когда в сессии будут пользовательские сообщения.|Keywords appear when the session contains user messages.|Ключові слова з’являться, коли сесія міститиме повідомлення користувача.
Это частотный анализ слов, а не семантическая модель или автоматически подтверждённые решения. Обработка полностью локальная.|This is word frequency analysis, not a semantic model or verified decisions. All processing is local.|Це частотний аналіз слів, а не семантична модель чи підтверджені рішення. Уся обробка локальна.
Найти нужный момент|Find the right moment|Знайти потрібний момент
Поиск по тексту сообщений, контексту и инструментам во всех индексированных сессиях. Поддерживается поиск по началу слова.|Search messages, context and tools across indexed sessions. Word prefixes are supported.|Шукайте повідомлення, контекст та інструменти в індексованих сесіях. Підтримується пошук за початком слова.
Тема, команда, фрагмент пути…|Topic, command, part of a path…|Тема, команда, частина шляху…
Поисковый запрос|Search query|Пошуковий запит
Найти|Search|Знайти
Поиск…|Searching…|Пошук…
История под рукой|Your history, searchable|Історія під рукою
Введите слова из разговора. Enter — искать. Ctrl+K — вернуться к поиску.|Enter words from a conversation. Enter to search, Ctrl+K to return to search.|Введіть слова з розмови. Enter — шукати, Ctrl+K — повернутися до пошуку.
Первые 100 результатов|First 100 results|Перші 100 результатів
результатов|results|результатів
включая служебные сессии|including service sessions|включно зі службовими сесіями
в выбранной сессии|in this session|у вибраній сесії
Искать во всей истории|Search all history|Шукати в усій історії
строка|line|рядок
Совпадений нет|No matches|Немає збігів
Попробуйте более короткое слово или включите служебные сессии.|Try a shorter word or include service sessions.|Спробуйте коротше слово або ввімкніть службові сесії.
Оформление|Appearance|Оформлення
Режим оформления|Appearance mode|Режим оформлення
следует оформлению Windows. Для светлого и тёмного режима можно выбрать разные темы.|follows Windows appearance. Light and dark modes can use different palettes.|відповідає оформленню Windows. Для світлого й темного режимів можна вибрати різні палітри.
Светлая тема|Light palette|Світла палітра
Тёмная тема|Dark palette|Темна палітра
Светлая|Light|Світла
Тёмная|Dark|Темна
тема|palette|тема
Диалоги, главы и история|Conversations, chapters and history|Діалоги, розділи та історія
семейств тем Codex Desktop. Палитры адаптированы к интерфейсу Session Vault.|Codex Desktop theme families, adapted for Session Vault.|сімейств тем Codex Desktop, адаптованих для Session Vault.
читает локальные файлы и строит отдельный индекс. Сообщения не отправляются в облако. Никаких API-ключей или аккаунтов.|reads local files and builds a separate index. Messages never go to the cloud. No API keys or accounts.|читає локальні файли та створює окремий індекс. Повідомлення не надсилаються в хмару. Без API-ключів та облікових записів.
Начало работы|Getting started|Початок роботи
Выбрать источники заново…|Replace sources…|Вибрати джерела заново…
Показывать приветственное окно при запуске|Show welcome on startup|Показувати вітання під час запуску
Подключённые источники|Connected sources|Підключені джерела
Копировать путь|Copy path|Копіювати шлях
Убрать из хранилища|Remove source|Прибрати джерело
Источники не выбраны.|No sources selected.|Джерела не вибрано.
Удаляется только запись в индексе. Исходные файлы остаются на месте.|Only indexed data is removed. Source files stay in place.|Видаляються лише дані індексу. Вихідні файли залишаються на місці.
Добавить папку|Add folder|Додати папку
Добавить JSONL|Add JSONL|Додати JSONL
Индекс SQLite|SQLite index|Індекс SQLite
Производный кэш, не оригинал истории. Для обновления файлов нажмите|A derived cache, not the original history. To refresh files, select|Похідний кеш, не оригінал історії. Щоб оновити файли, натисніть
Автообновление каждые 60 секунд, пока приложение открыто.|Automatically refreshes every 60 seconds while the app is open.|Автооновлення кожні 60 секунд, поки програму відкрито.
не подключены: наличие читаемого источника не подтверждено. Поддерживаются JSONL-сессии Codex; неизвестные события сохраняются в исходнике.|are not connected: no readable source has been verified. Codex JSONL sessions are supported; unknown events remain in the original.|не підключені: доступне джерело не підтверджено. Підтримуються JSONL-сесії Codex; невідомі події залишаються в оригіналі.
Ваше локальное хранилище|Your local vault|Ваше локальне сховище
Сессии Codex появятся здесь после индексации. Добавьте JSONL или папку через настройки.|Codex sessions appear here after indexing. Add JSONL files or a folder in Settings.|Сесії Codex з’являться тут після індексації. Додайте JSONL або папку в налаштуваннях.
От вопроса к следующему шагу|From question to next step|Від запитання до наступного кроку
Автоматическое оглавление по пользовательским ходам. Названия взяты из первых строк сообщений и не являются AI-резюме.|An automatic outline based on user turns. Titles come from message text, not AI summaries.|Автоматичний зміст за ходами користувача. Назви взято з тексту повідомлень, це не AI-підсумки.
Строка|Line|Рядок
Читать в диалоге ↗|Read in conversation ↗|Читати в діалозі ↗
Пока нет глав|No chapters yet|Розділів ще немає
В этой сессии отсутствуют пользовательские сообщения.|This session has no user messages.|У цій сесії немає повідомлень користувача.
Как развивалась сессия|How the session unfolded|Як розвивалася сесія
Пользовательские ходы, вызовы инструментов и границы выполнения. Порядок соответствует строкам исходного файла.|User turns, tool calls and execution boundaries, in source-file order.|Ходи користувача, виклики інструментів і межі виконання в порядку вихідного файлу.
Сообщение пользователя|User message|Повідомлення користувача
Нет событий|No events|Немає подій
Подходящих событий в исходнике не обнаружено.|No matching events in the source.|У джерелі немає відповідних подій.
Забрать историю с собой|Take your history with you|Забрати історію із собою
Экспорт выбранной сессии в отдельный файл. Исходники остаются на месте.|Export this session to a separate file. Originals stay in place.|Експортуйте вибрану сесію в окремий файл. Оригінали залишаються на місці.
Читаемый диалог|Readable conversation|Читабельний діалог
Сообщения пользователя и ассистента, время и ссылки на номера строк.|User and assistant messages with timestamps and source line numbers.|Повідомлення користувача й асистента, час і номери вихідних рядків.
Структурированные данные|Structured data|Структуровані дані
Метаданные и нормализованные записи, включая инструменты и контекст.|Metadata and normalized records, including tools and context.|Метадані та нормалізовані записи, включно з інструментами й контекстом.
Оригинальный журнал|Original log|Оригінальний журнал
Побайтовая копия исходного файла без потери неизвестных полей и вложений.|A byte-for-byte copy, preserving unknown fields and attachments.|Побайтова копія зі збереженням невідомих полів і вкладень.
Сохранить ↗|Save ↗|Зберегти ↗
Экспорт может содержать личную информацию и текст команд. Markdown и JSON отражают индекс: очень длинные записи ограничены 200 000 символов и помечены. JSONL сохраняет полный оригинал.|Exports may contain private information and commands. Markdown and JSON reflect the bounded index; truncated records are marked. JSONL preserves the full original.|Експорт може містити особисту інформацію та команди. Markdown і JSON відображають обмежений індекс; скорочені записи позначені. JSONL зберігає повний оригінал.
Не удалось открыть представление|Unable to open this view|Не вдалося відкрити подання
Индекс готов ·|Index ready ·|Індекс готовий ·
сессий · ошибок:|sessions · errors:|сесій · помилок:
Индекс обновлён:|Index refreshed:|Індекс оновлено:
файлов|files|файлів
Ошибка индексации|Indexing error|Помилка індексації
Подготовка экспорта…|Preparing export…|Підготовка експорту…
Сохранено:|Saved:|Збережено:
Экспорт отменён|Export cancelled|Експорт скасовано
Путь скопирован|Path copied|Шлях скопійовано
Индексация|Indexing|Індексація
Ожидание выбора источников|Waiting for sources|Очікування вибору джерел
Скрыть левую панель · Ctrl+B|Hide left panel · Ctrl+B|Приховати ліву панель · Ctrl+B
Левая панель|Left panel|Ліва панель
Локальная история|Local history|Локальна історія
Поиск по истории|Search history|Пошук в історії
Справка · F1|Help · F1|Довідка · F1
Источники и настройки|Sources and settings|Джерела й налаштування
Только на устройстве|On this device only|Лише на цьому пристрої
Скрыть правую панель · Ctrl+Shift+B|Hide right panel · Ctrl+Shift+B|Приховати праву панель · Ctrl+Shift+B
Правая панель|Right panel|Права панель
Представления|Views|Подання
ХРАНИЛИЩЕ|VAULT|СХОВИЩЕ
Обновить индекс|Refresh index|Оновити індекс
ПРОЕКТЫ|PROJECTS|ПРОЄКТИ
СЕССИИ|SESSIONS|СЕСІЇ
Показать или скрыть служебные сессии|Show or hide service sessions|Показати або приховати службові сесії
Служебные|Service|Службові
Фильтр сессий…|Filter sessions…|Фільтр сесій…
Фильтр сессий|Filter sessions|Фільтр сесій
Исходники доступны только для чтения|Source files are read-only|Вихідні файли доступні лише для читання
ЛОКАЛЬНОЕ ХРАНИЛИЩЕ|LOCAL VAULT|ЛОКАЛЬНЕ СХОВИЩЕ
История, в которой легко ориентироваться.|Find your way through history.|Історія, у якій легко орієнтуватися.
Закрыть текущий экран|Close current view|Закрити поточне подання
Закрыть · Esc|Close · Esc|Закрити · Esc
Открываем локальную историю|Opening local history|Відкриваємо локальну історію
Индексируем файлы Codex. Исходники остаются без изменений.|Indexing Codex files. Originals remain unchanged.|Індексуємо файли Codex. Оригінали залишаються без змін.
Подготовка индекса|Preparing index|Підготовка індексу
Закрыть приветствие|Close welcome|Закрити вітання
Откуда начнём вашу историю?|Where does your history begin?|Звідки почнемо вашу історію?
Выберите папку сессий или отдельные файлы. Всё остаётся на вашем компьютере.|Choose a sessions folder or individual files. Everything stays on your computer.|Виберіть папку сесій або окремі файли. Усе залишається на вашому комп’ютері.
Автоматически найти сессии Codex|Find Codex sessions automatically|Автоматично знайти сесії Codex
Выбрать папку|Choose folder|Вибрати папку
Просканировать JSONL в выбранной папке и подпапках|Scan JSONL files in this folder and its subfolders|Сканувати JSONL у цій папці та підпапках
Выбрать файлы|Choose files|Вибрати файли
Один или несколько JSONL из любого расположения|One or more JSONL files from any location|Один або кілька JSONL із будь-якого розташування
Открыть сохранённые источники|Open saved sources|Відкрити збережені джерела
Продолжить с предыдущим выбором|Continue with your previous selection|Продовжити з попереднім вибором
Больше не показывать|Don't show again|Більше не показувати
При следующем запуске откроются выбранные источники. Изменить выбор можно в настройках.|Next launch opens the selected sources. Change them in Settings.|Під час наступного запуску відкриються вибрані джерела. Змінити їх можна в налаштуваннях.
Исходные файлы — только для чтения|Source files are read-only|Вихідні файли — лише для читання
Позже|Later|Пізніше
Язык|Language|Мова
Ошибки источников|Source issues|Проблеми джерел
Сжатие контекста|Context compaction|Стиснення контексту
Начало хода|Turn started|Початок ходу
Ход завершён|Turn completed|Хід завершено
Ход прерван|Turn interrupted|Хід перервано
Результат инструмента|Tool output|Результат інструмента
Без проекта|No project|Без проєкту
Контекст / вложение|Context / attachment|Контекст / вкладення
Сессия не найдена|Session not found|Сесію не знайдено
Неизвестный формат|Unknown format|Невідомий формат
Выберите источник сессий|Choose a session source|Виберіть джерело сесій
Неизвестный источник|Unknown source|Невідоме джерело
Добавить локальные JSONL|Add local JSONL files|Додати локальні JSONL
Экспорт сессии|Export session|Експорт сесії
Недоступная операция|Operation unavailable|Операція недоступна

Загрузка…|Loading…|Завантаження…
